id,title,context,question,answers,predicted_answer,predicted_answer_for_dropped
571c4132dd7acb1400e4c0b0,Oxygen,"In the meantime, on August 1, 1774, an experiment conducted by the British clergyman Joseph Priestley focused sunlight on mercuric oxide (HgO) inside a glass tube, which liberated a gas he named ""dephlogisticated air"". He noted that candles burned brighter in the gas and that a mouse was more active and lived longer while breathing it. After breathing the gas himself, he wrote: ""The feeling of it to my lungs was not sensibly different from that of common air, but I fancied that my breast felt peculiarly light and easy for some time afterwards."" Priestley published his findings in 1775 in a paper titled ""An Account of Further Discoveries in Air"" which was included in the second volume of his book titled Experiments and Observations on Different Kinds of Air. Because he published his findings first, Priestley is usually given priority in the discovery.",What chemical did Priestley use in his experiments on oxygen?,"{'text': array(['mercuric oxide', 'mercuric oxide', 'mercuric oxide',
       'mercuric oxide (HgO)', 'mercuric oxide'], dtype=object), 'answer_start': array([122, 122, 122, 122, 122], dtype=int32)}",Mercuric oxide (HgO),Mercuric oxide (HgO)
5726b58f5951b619008f7b56,European_Union_law,"While the concept of a ""social market economy"" was only introduced into EU law in 2007, free movement and trade were central to European development since the Treaty of Rome 1957. According to the standard theory of comparative advantage, two countries can both benefit from trade even if one of them has a less productive economy in all respects. Like in other regional organisations such as the North American Free Trade Association, or the World Trade Organisation, breaking down barriers to trade, and enhancing free movement of goods, services, labour and capital, is meant to reduce consumer prices. It was originally theorised that a free trade area had a tendency to give way to a customs union, which led to a common market, then monetary union, then union of monetary and fiscal policy, political and eventually a full union characteristic of a federal state. In Europe, however, those stages were considerably mixed, and it remains unclear whether the ""endgame"" should be the same as a state, traditionally understood. In practice free trade, without standards to ensure fair trade, can benefit some people and groups within countries (particularly big business) much more than others, but will burden people who lack bargaining power in an expanding market, particularly workers, consumers, small business, developing industries, and communities. The Treaty on the Functioning of the European Union articles 28 to 37 establish the principle of free movement of goods in the EU, while articles 45 to 66 require free movement of persons, services and capital. These so-called ""four freedoms"" were thought to be inhibited by physical barriers (e.g. customs), technical barriers (e.g. differing laws on safety, consumer or environmental standards) and fiscal barriers (e.g. different Value Added Tax rates). The tension in the law is that the free movement and trade is not supposed to spill over into a licence for unrestricted commercial profit. The Treaties limit free trade, to prioritise other values such as public health, consumer protection, labour rights, fair competition, and environmental improvement. Increasingly the Court of Justice has taken the view that the specific goals of free trade are underpinned by the general aims of the treaty for improvement of people's well being.",How long has free movement and trade been central to European development?,"{'text': array(['1957', '1957', 'since the Treaty of Rome 1957'], dtype=object), 'answer_start': array([174, 174, 149], dtype=int32)}",Since the Treaty of Rome in 1957.,Free movement and trade have been central to European development since the Treaty of Rome in 1957.
572941273f37b319004781ae,Intergovernmental_Panel_on_Climate_Change,"Former IPCC chairman Robert Watson has said ""The mistakes all appear to have gone in the direction of making it seem like climate change is more serious by overstating the impact. That is worrying. The IPCC needs to look at this trend in the errors and ask why it happened"". Martin Parry, a climate expert who had been co-chair of the IPCC working group II, said that ""What began with a single unfortunate error over Himalayan glaciers has become a clamour without substance"" and the IPCC had investigated the other alleged mistakes, which were ""generally unfounded and also marginal to the assessment"".",What direction did Watson say the mistake went in?,"{'text': array(['making it seem like climate change is more serious by overstating the impact',
       'the direction of making it seem like climate change is more serious',
       'making it seem like climate change is more serious by overstating the impact'],
      dtype=object), 'answer_start': array([102,  85, 102], dtype=int32)}",Watson said the mistakes went in the direction of making it seem like climate change is more serious by overstating the impact.,Watson said the mistakes went in the direction of making it seem like climate is more serious by overstating the impact.
57300911947a6a140053cfb7,Rhine,"Germanic tribes crossed the Rhine in the Migration period, by the 5th century establishing the kingdoms of Francia on the Lower Rhine, Burgundy on the Upper Rhine and Alemannia on the High Rhine. This ""Germanic Heroic Age"" is reflected in medieval legend, such as the Nibelungenlied which tells of the hero Siegfried killing a dragon on the Drachenfels (Siebengebirge) (""dragons rock""), near Bonn at the Rhine and of the Burgundians and their court at Worms, at the Rhine and Kriemhild's golden treasure, which was thrown into the Rhine by Hagen.",What did Germanic tribes establish with help from the Rhine?,"{'text': array(['kingdoms', 'kingdoms', 'kingdoms'], dtype=object), 'answer_start': array([95, 95, 95], dtype=int32)}","The Germanic tribes established the kingdoms of Francia, Burgundy, and Alemannia with help from the Rhine.","Yes, Germanic tribes established kingdoms along the Rhine."
5726e37ef1498d1400e8eeda,Victoria_and_Albert_Museum,"The costume collection is the most comprehensive in Britain, containing over 14,000 outfits plus accessories, mainly dating from 1600 to the present. Costume sketches, design notebooks, and other works on paper are typically held by the Word and Image department. Because everyday clothing from previous eras has not generally survived, the collection is dominated by fashionable clothes made for special occasions. One of the first significant gifts of costume came in 1913 when the V&A received the Talbot Hughes collection containing 1,442 costumes and items as a gift from Harrods following its display at the nearby department store.",Why is the collection dominated by fashionable clothes made for special occasions?,"{'text': array(['Because everyday clothing from previous eras has not generally survived',
       'Because everyday clothing from previous eras has not generally survived',
       'everyday clothing from previous eras has not generally survived',
       'everyday clothing from previous eras has not generally survived'],
      dtype=object), 'answer_start': array([264, 264, 272, 272], dtype=int32)}",Because everyday clothing from previous eras has not generally survived.,"Yes, the collection is dominated by fashionable clothes made for special occasions."
571ce6655efbb31900334e35,Oxygen,"Oxygen gas (O
2) can be toxic at elevated partial pressures, leading to convulsions and other health problems.[j] Oxygen toxicity usually begins to occur at partial pressures more than 50 kilopascals (kPa), equal to about 50% oxygen composition at standard pressure or 2.5 times the normal sea-level O
2 partial pressure of about 21 kPa. This is not a problem except for patients on mechanical ventilators, since gas supplied through oxygen masks in medical applications is typically composed of only 30%–50% O
2 by volume (about 30 kPa at standard pressure). (although this figure also is subject to wide variation, depending on type of mask).",At what point does oxygen toxicity begin to happen?,"{'text': array(['50 kilopascals', 'at partial pressures more than 50 kilopascals',
       '50 kilopascals', 'more than 50 kilopascals',
       'at partial pressures more than 50 kilopascals'], dtype=object), 'answer_start': array([185, 154, 185, 175, 154], dtype=int32)}",Oxygen toxicity usually begins to occur at partial pressures more than 50 kilopascals (kPa).,Oxygen toxicity usually begins to occur at partial pressures more than 50 kilopascals (kPa).
5725fe63ec44d21400f3d7e0,"Fresno,_California","Fresno is the largest U.S. city not directly linked to an Interstate highway. When the Interstate Highway System was created in the 1950s, the decision was made to build what is now Interstate 5 on the west side of the Central Valley, and thus bypass many of the population centers in the region, instead of upgrading what is now State Route 99. Due to rapidly raising population and traffic in cities along SR 99, as well as the desirability of Federal funding, much discussion has been made to upgrade it to interstate standards and eventually incorporate it into the interstate system, most likely as Interstate 9. Major improvements to signage, lane width, median separation, vertical clearance, and other concerns are currently underway.",What are the factors that are contributing to the desire to have SR 99 improved to be of interstate standards?,"{'text': array(['rapidly raising population and traffic in cities along SR 99',
       'rapidly raising population and traffic in cities along SR 99, as well as the desirability of Federal funding',
       'rapidly raising population and traffic in cities along SR 99, as well as the desirability of Federal funding'],
      dtype=object), 'answer_start': array([353, 353, 353], dtype=int32)}","The factors contributing to the desire to have SR 99 improved to be of interstate standards are rapidly raising population and traffic in cities along SR 99, as well as the desirability of Federal funding.","The factors contributing to the desire to have SR 99 improved to be of interstate standards are rapidly raising population and traffic in cities along SR 99, as well as the availability of federal funding."
5728dafe3acd2414000e005e,Civil_disobedience,"However, this definition is disputed by Thoreau's political philosophy pitching the conscience vs. the collective. The individual is the final judge of right and wrong. More than this, since only individuals act, only individuals can act unjustly. When the government knocks on the door, it is an individual in the form of a postman or tax collector whose hand hits the wood. Before Thoreau’s imprisonment, when a confused taxman had wondered aloud about how to handle his refusal to pay, Thoreau had advised, “Resign.” If a man chose to be an agent of injustice, then Thoreau insisted on confronting him with the fact that he was making a choice. But if government is “the voice of the people,” as it is often called, shouldn’t that voice be heeded? Thoreau admits that government may express the will of the majority but it may also express nothing more than the will of elite politicians. Even a good form of government is “liable to be abused and perverted before the people can act through it.” Moreover, even if a government did express the voice of the people, this fact would not compel the obedience of individuals who disagree with what is being said. The majority may be powerful but it is not necessarily right. What, then, is the proper relationship between the individual and the government?",Who is to blame for acting unjustly?,"{'text': array(['individuals', 'individuals', 'an individual', 'individuals',
       'individuals'], dtype=object), 'answer_start': array([ 218, 1112,  294,  218,  218], dtype=int32)}",Only individuals can act unjustly.,The individual is to blame for acting unjustly.
57096e1ced30961900e84103,Sky_(United_Kingdom),"In the autumn of 1991, talks were held for the broadcast rights for Premier League for a five-year period, from the 1992 season. ITV were the current rights holders, and fought hard to retain the new rights. ITV had increased its offer from £18m to £34m per year to keep control of the rights. BSkyB joined forces with the BBC to make a counter bid. The BBC was given the highlights of most of the matches, while BSkyB paying £304m for the Premier League rights, would give them a monopoly of all live matches, up to 60 per year from the 1992 season.  Murdoch described sport as a ""battering ram"" for pay-television, providing a strong customer base. A few weeks after the deal, ITV went to the High Court to get an injunction as it believed their bid details had been leaked before the decision was taken. ITV also asked the Office of Fair Trading to investigate since it believed Rupert Murdoch's media empire via its newspapers had influenced the deal. A few days later neither action took effect, ITV believed BSkyB was telephoned and informed of its £262m bid, and Premier League advised BSkyB to increase its counter bid.",Who were the current rights holders for the Primer League?,"{'text': array(['ITV', 'ITV', 'ITV'], dtype=object), 'answer_start': array([129, 129, 129], dtype=int32)}",ITV,ITV were the current rights holders.
56e0d9e0231d4119001ac43d,Nikola_Tesla,"One of the things Tesla developed at that laboratory in 1887 was an induction motor that ran on alternating current, a power system format that was starting to be built in Europe and the United States because of its advantages in long-distance, high-voltage transmission. The motor used polyphase current which generated a rotating magnetic field to turn the motor (a principle Tesla claimed to have conceived in 1882). This innovative electric motor, patented in May 1888, was a simple self-starting design that did not need a commutator, thus avoiding sparking and the high maintenance of constantly servicing and replacing mechanical brushes.",Why was AC electricity gaining popularity?,"{'text': array(['because of its advantages in long-distance, high-voltage transmission',
       'advantages in long-distance, high-voltage transmission',
       'because of its advantages in long-distance, high-voltage transmission'],
      dtype=object), 'answer_start': array([201, 216, 201], dtype=int32)}","AC electricity was gaining popularity because of its advantages in long-distance, high-voltage transmission.","AC electricity was gaining popularity because of its advantages in long-distance, high-volt transmission."
56e77a8700c9c71400d7718d,Teacher,"In the past, teachers have been paid relatively low salaries. However, average teacher salaries have improved rapidly in recent years. US teachers are generally paid on graduated scales, with income depending on experience. Teachers with more experience and higher education earn more than those with a standard bachelor's degree and certificate. Salaries vary greatly depending on state, relative cost of living, and grade taught. Salaries also vary within states where wealthy suburban school districts generally have higher salary schedules than other districts. The median salary for all primary and secondary teachers was $46,000 in 2004, with the average entry salary for a teacher with a bachelor's degree being an estimated $32,000. Median salaries for preschool teachers, however, were less than half the national median for secondary teachers, clock in at an estimated $21,000 in 2004. For high school teachers, median salaries in 2007 ranged from $35,000 in South Dakota to $71,000 in New York, with a national median of $52,000. Some contracts may include long-term disability insurance, life insurance, emergency/personal leave and investment options. The American Federation of Teachers' teacher salary survey for the 2006-07 school year found that the average teacher salary was $51,009. In a salary survey report for K-12 teachers, elementary school teachers had the lowest median salary earning $39,259. High school teachers had the highest median salary earning $41,855. Many teachers take advantage of the opportunity to increase their income by supervising after-school programs and other extracurricular activities. In addition to monetary compensation, public school teachers may also enjoy greater benefits (like health insurance) compared to other occupations. Merit pay systems are on the rise for teachers, paying teachers extra money based on excellent classroom evaluations, high test scores and for high success at their overall school. Also, with the advent of the internet, many teachers are now selling their lesson plans to other teachers through the web in order to earn supplemental income, most notably on TeachersPayTeachers.com.","In a report on K-12 teachers, which teachers had the lowest median salary?","{'text': array(['elementary school teachers', 'elementary school teachers',
       'preschool teachers'], dtype=object), 'answer_start': array([1348, 1348,  761], dtype=int32)}",Elementary school teachers had the lowest median salary.,Elementary school teachers had the lowest median salary.
571a4b0f10f8ca1400304fd5,Oxygen,"In the late 17th century, Robert Boyle proved that air is necessary for combustion. English chemist John Mayow (1641–1679) refined this work by showing that fire requires only a part of air that he called spiritus nitroaereus or just nitroaereus. In one experiment he found that placing either a mouse or a lit candle in a closed container over water caused the water to rise and replace one-fourteenth of the air's volume before extinguishing the subjects. From this he surmised that nitroaereus is consumed in both respiration and combustion.",Who proved that air is necessary for combustion?,"{'text': array(['Robert Boyle', 'Robert Boyle', 'Boyle', 'Robert Boyle'],
      dtype=object), 'answer_start': array([26, 26, 33, 26], dtype=int32)}",Robert Boyle,Robert Boyle proved that air is necessary for combustion.
5728659f4b864d190016498e,University_of_Chicago,"Students at the University of Chicago run over 400 clubs and organizations known as Recognized Student Organizations (RSOs). These include cultural and religious groups, academic clubs and teams, and common-interest organizations. Notable extracurricular groups include the University of Chicago College Bowl Team, which has won 118 tournaments and 15 national championships, leading both categories internationally. The university's competitive Model United Nations team was the top ranked team in North America in 2013-14 and 2014-2015. Among notable RSOs are the nation's longest continuously running student film society Doc Films, organizing committee for the University of Chicago Scavenger Hunt, the twice-weekly student newspaper The Chicago Maroon, the alternative weekly student newspaper South Side Weekly, the nation's second oldest continuously running student improvisational theater troupe Off-Off Campus, and the university-owned radio station WHPK.",What is the name of the student improvisational theater troupe?,"{'text': array(['Off-Off Campus', 'Off-Off Campus', 'Off-Off Campus'], dtype=object), 'answer_start': array([905, 905, 905], dtype=int32)}",Off-Off Campus,The name of the student improvisational theater trou is Off-Off Campus.
572fd7b8947a6a140053cd3b,Scottish_Parliament,"Parliamentary time is also set aside for question periods in the debating chamber. A ""General Question Time"" takes place on a Thursday between 11:40 a.m. and 12 p.m. where members can direct questions to any member of the Scottish Government. At 2.30pm, a 40-minute long themed ""Question Time"" takes place, where members can ask questions of ministers in departments that are selected for questioning that sitting day, such as health and justice or education and transport. Between 12 p.m. and 12:30 p.m. on Thursdays, when Parliament is sitting, First Minister's Question Time takes place. This gives members an opportunity to question the First Minister directly on issues under their jurisdiction. Opposition leaders ask a general question of the First Minister and then supplementary questions. Such a practice enables a ""lead-in"" to the questioner, who then uses their supplementary question to ask the First Minister any issue. The four general questions available to opposition leaders are:",On what day does a General Question Time take place?,"{'text': array(['Thursday', 'Thursday', 'Thursday'], dtype=object), 'answer_start': array([126, 126, 126], dtype=int32)}",A General Question Time takes place on Thursdays.,A General Question Time takes place on a Thursday.
5730005db2c2fd1400568706,Islamism,"Sayyid Abul Ala Maududi was an important early twentieth-century figure in the Islamic revival in India, and then after independence from Britain, in Pakistan. Trained as a lawyer he chose the profession of journalism, and wrote about contemporary issues and most importantly about Islam and Islamic law. Maududi founded the Jamaat-e-Islami party in 1941 and remained its leader until 1972. However, Maududi had much more impact through his writing than through his political organising. His extremely influential books (translated into many languages) placed Islam in a modern context, and influenced not only conservative ulema but liberal modernizer Islamists such as al-Faruqi, whose ""Islamization of Knowledge"" carried forward some of Maududi's key principles.",Where did Maududi exert the most impact?,"{'text': array(['through his writing', 'writing', 'writing'], dtype=object), 'answer_start': array([429, 441, 441], dtype=int32)}",Maududi exerted the most impact through his writing.,"Yes, Maududi exerted the most impact through his writing."
5729024f1d04691400778f61,Kenya,"At the outbreak of World War I in August 1914, the governors of British East Africa (as the Protectorate was generally known) and German East Africa agreed a truce in an attempt to keep the young colonies out of direct hostilities. Lt Col Paul von Lettow-Vorbeck took command of the German military forces, determined to tie down as many British resources as possible. Completely cut off from Germany, von Lettow conducted an effective guerrilla warfare campaign, living off the land, capturing British supplies, and remaining undefeated. He eventually surrendered in Northern Rhodesia (today Zambia) fourteen days after the Armistice was signed in 1918.",Who was in command of the German military forces?,"{'text': array(['Lt Col Paul von Lettow-Vorbeck', 'Lt Col Paul von Lettow-Vorbeck',
       'Paul von Lettow-Vorbeck'], dtype=object), 'answer_start': array([232, 232, 239], dtype=int32)}",Lt Col Paul von Lettow-Vorbeck,Lt Col Paul von Lettow-Vorbeck
5730b07c8ab72b1400f9c696,United_Methodist_Church,"Wesleyan theology stands at a unique cross-roads between evangelical and sacramental, between liturgical and charismatic, and between Anglo-Catholic and Reformed theology and practice. It has been characterized as Arminian theology with an emphasis on the work of the Holy Spirit to bring holiness into the life of the participating believer. The United Methodist Church believes in prima scriptura, seeing the Holy Bible as the primary authority in the Church and using sacred tradition, reason, and experience to interpret it, with the aid of the Holy Spirit (see Wesleyan Quadrilateral). Therefore, according to The Book of Discipline, United Methodist theology is at once ""catholic, evangelical, and reformed."" Today, the UMC is generally considered one of the more moderate and tolerant denominations with respect to race, gender, and ideology, though the denomination itself actually includes a very wide spectrum of attitudes. Comparatively, the UMC stands to the right of liberal and progressive Protestant groups such as the United Church of Christ and the Episcopal Church on certain issues (especially regarding sexuality), but to the left of historically conservative evangelical traditions such as the Southern Baptists and Pentecostalism, in regard to theological matters such as social justice and Biblical interpretation. However, it should be noted that the UMC is made up of a broad diversity of thought, and so there are many clergy and laity within the UMC that hold differing viewpoints on such theological matters.",What has been characterized as Arminian theology with an emphasis on the work of the Holy Spirit?,"{'text': array(['Wesleyan theology', 'Wesleyan theology', 'Wesleyan theology'],
      dtype=object), 'answer_start': array([0, 0, 0], dtype=int32)}",Wesleyan theology,Wesleyan theology has been characterized as Arminian theology with an emphasis on the work of the Holy Spirit.
